% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.180393                  0.716452                 0                        0                        0                        0                        16.835108639992885
0                         0.5                      0.4                      2.2303587548273236E-16   0                        0                        16.754386880501723
0                         0.501145                 0.300384                 3.59612910154873E-22     0                        0                        16.82549368304154
0.0656995                 0.577617                 0.144127                 1.3800874168548444E-4    -0.003665045405881192    0.003268591776713833     16.835424489356615
0                         0.6218                   0.198723                 0                        0                        0                        16.83523318581147
0                         0.577534                 0.342366                 1.792237577249684E-21    0                        0                        16.817490433983142
0                         0.574533                 0.270388                 0                        0                        0                        16.834051368928222
0                         0.333466                 0.57185                  1.0514922194116088E-21   0                        0                        16.837881236890833
0.065323                  0.132314                 0.712715                 -0.00141181798211531     0.0020194291761613677    -0.002961698131807165    16.83616159159401
0.119477                  0.0881554                0.760506                 -0.0026774141594998204   8.365754780575609E-4     -0.002575716341932945    16.835682092694267
0.109539                  0.0881554                0.872446                 -0.0011187609360751116   5.299354606103165E-4     -8.004605317623136E-4    16.836000504896024
0                         0.109514                 0.808231                 0                        0                        0                        16.83668421576552
0                         0.0915623                0.91742                  0                        0                        0                        16.836282680711747
0.193638                  0.0659844                0.839992                 -0.0036549530534843986   2.2650305552879906E-4    -0.0014365231411420246   16.835639520693558
0.283705                  0                        0.793492                 0                        0                        0                        16.835337738078852
0.195488                  0.0911889                0.919996                 -0.0027265369949201214   2.371682599090406E-4     -4.830497083399252E-4    16.83576698712505
0.125                     0                        1                        4.551082303017943E-19    -3.9587662757578565E-20  8.062971392648272E-20    16.835862467398552
0.0835278                 0.0957165                1                        1.6995701244708126E-25   -1.5441376455416692E-25  8.468989564233398E-26    16.836036194783357
0                         0.125                    1                        0                        0                        0                        16.836286416736503
0                         0.281661                 0.633364                 0                        0                        0                        16.836048729461012
0                         0.212549                 0.704289                 0                        0                        0                        16.836820170432976
0.130646                  0.167176                 0.756077                 -0.00621086627798023     0.004226391167781256     -0.004890589080615251    16.835890440508372
0.0618447                 0.209007                 0.635324                 -0.0026125486072588497   0.0073178177026746154    -0.004916469722599627    16.8354154393661
0.0837819                 0.271735                 0.583747                 -0.0065562124247591485   0.020689995866988727     -0.00961251837722702     16.83427802093236
0.721419                  0.514785                 0.0274697                0.2701996988607807       -0.13178540384300547     -0.4844779122680539      16.206005992354015
0.667961                  0.514967                 0.0283018                0.07679980196666002      -0.0014596233799986167   -0.015278684590862127    16.713582781726714
0.75                      0.55                     0                        0                        0                        0                        16.000829022476086
0.714645                  0.535355                 0                        3.295963527984511E-6     -3.6786988455151646E-6   -2.8793667920732167E-5   16.082950641992515
0.667687                  0.540471                 0                        0                        0                        0                        16.74349405058952
0.450173                  0.223222                 0.0615819                -0.019445535925281962    0.008804269436975765     5.510354603605516E-4     16.836980088109545
0.558817                  0.305929                 0                        0                        0                        0                        16.833316721858406
0.393564                  0.309952                 0.0552377                -0.013098357261895035    0.006477241543615104     -2.03161456780346E-4     16.8359688480067
0.594748                  0.366037                 0.0584365                -0.01450222826306165     0.026066968553720024     0.0013988555162805804    16.830696111329516
0.401207                  0.244462                 0.123164                 -0.029042590184119796    0.010239854605884103     0.0032119733225860806    16.83673667326735
0.571708                  0.30553                  0.0724391                -0.03375470852237673     0.024989257033814046     0.0041589124191302096    16.834602234014724
0.480118                  0.141707                 0.111591                 -0.031543306504774035    0.005992531033316418     0.002268423337831138     16.83872285179096
0.5546                    0.205894                 0.100468                 -0.04534142050920128     0.017952267900719986     0.005066968940650172     16.838196254384563
0.525302                  0.0776964                0.131457                 -0.031052399034596403    6.884129846957004E-5     0.0049292787776603056    16.839510191583496
0.439501                  0.0632789                0.175688                 -0.019154236611864463    0.0015869338230714495    0.004255100243568151     16.836458946321276
0.0717532                 0.429981                 0.306988                 -0.003840771504450929    0.015185985626245421     0.02341911130777138      16.837092079086215
0.0676121                 0.503521                 0.262458                 -0.012876955485074547    0.005318970985661281     0.02734369519870068      16.83765390377451
0.13822                   0.48001                  0.245111                 -0.038173014912625716    0.003431579337890542     0.04962995062577376      16.824675939842763
0.275432                  0.087627                 0.650178                 -0.012381651317832495    0.0038531215502208287    -0.003787429511080999    16.834824326624457
0.303485                  0                        0.695144                 0                        0                        0                        16.8341595776371
0.317196                  0                        0.568623                 0                        0                        0                        16.83278099579307
0.33596                   0.0844976                0.592243                 -0.015051093641900593    0.002384959487146732     -0.001394225421900042    16.834258847440815
0.382074                  0                        0.785571                 0                        0                        0                        16.834309200996
0.260418                  0.087627                 0.75821                  -0.010553461657341669    0.0020987665989767247    -0.0038396625492422383   16.835747295738916
0.358769                  0.0728274                0.734218                 -0.015840423545266356    0.0024266973118362255    -0.00481638853243929     16.8354070080123
0.662354                  0.337664                 0.0684944                -0.04639620072469879     0.035535363312331245     0.00539303142191554      16.82773231043225
0.603114                  0.344841                 0.106396                 -0.031053429180209983    0.03410171711987099      0.009244303291625584     16.830919945776028
